CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.42,-10.13,-5.80
02_2010-05-23,105.72,106.42,105.94,-0.70,-0.22
03_2010-08-01,57.00,58.00,53.15,-1.00,3.85
04_2011-09-06,60.77,71.67,72.60,-10.90,-11.84
05_2011-09-13,77.83,92.83,75.92,-15.00,1.92
06_2011-10-22,65.22,83.92,71.53,-18.70,-6.31
07_2012-01-19,63.40,64.40,62.30,-1.00,1.10
08_2012-03-07,34.05,24.87,35.06,9.18,-1.01
09_2012-06-14,43.93,47.67,45.50,-3.73,-1.57
10_2012-07-03,101.33,88.33,83.56,13.00,17.78
11_2012-07-12,49.20,47.20,46.90,2.00,2.30
12_2012-09-27,58.63,65.25,62.68,-6.62,-4.05
13_2012-10-05,75.67,94.67,70.07,-19.00,5.60
