CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.17,-10.13,-5.56
02_2010-05-23,105.72,106.42,106.11,-0.70,-0.40
03_2010-08-01,57.00,58.00,53.19,-1.00,3.81
04_2011-09-06,60.77,71.67,72.67,-10.90,-11.91
05_2011-09-13,77.83,92.83,72.86,-15.00,4.97
06_2011-10-22,65.22,83.92,71.51,-18.70,-6.29
07_2012-01-19,63.40,64.40,62.95,-1.00,0.45
08_2012-03-07,34.05,24.87,34.92,9.18,-0.87
09_2012-06-14,43.93,47.67,45.86,-3.73,-1.93
10_2012-07-03,101.33,88.33,84.20,13.00,17.13
11_2012-07-12,49.20,47.20,46.81,2.00,2.39
12_2012-09-27,58.63,65.25,62.43,-6.62,-3.80
13_2012-10-05,75.67,94.67,69.64,-19.00,6.03
