CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.55,-10.13,-5.93
02_2010-05-23,105.72,106.42,105.84,-0.70,-0.12
03_2010-08-01,57.00,58.00,53.53,-1.00,3.47
04_2011-09-06,60.77,71.67,72.56,-10.90,-11.79
05_2011-09-13,77.83,92.83,72.68,-15.00,5.15
06_2011-10-22,65.22,83.92,71.52,-18.70,-6.31
07_2012-01-19,63.40,64.40,62.27,-1.00,1.13
08_2012-03-07,34.05,24.87,35.26,9.18,-1.21
09_2012-06-14,43.93,47.67,45.62,-3.73,-1.69
10_2012-07-03,101.33,88.33,83.17,13.00,18.16
11_2012-07-12,49.20,47.20,45.92,2.00,3.28
12_2012-09-27,58.63,65.25,62.69,-6.62,-4.06
13_2012-10-05,75.67,94.67,70.26,-19.00,5.41
